,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
0,던전앤파이터,"장르: RPG, 액션",일정: 출시 (2005.08.10),PC/ON,1.6,2261,477,http://bbs.ruliweb.com/game/2230,http://bbs.ruliweb.com/game/2230/review
1,니어 오토마타,장르: RPG,"일정: 출시 (2017.02.23), 출시 (2017.03.07), 출시 (2017.04.27)",PS4,9.3,113,343,http://bbs.ruliweb.com/game/84289,http://bbs.ruliweb.com/game/84289/review
2,다크 소울 3,"장르: RPG, 액션","일정: 출시 (2016.04.12), 출시 (2016.10.26), 출시 (2017.03.27), 출시 (2016.03.24)",PC/ON PS4 XONE,9.1,270,230,http://bbs.ruliweb.com/game/83787,http://bbs.ruliweb.com/game/83787/review
3,인왕,"장르: RPG, 액션","일정: 출시 (2017.02.07), 출시 (2017.02.09), 출시 (2017.05.02)",PS4,9.1,306,167,http://bbs.ruliweb.com/game/84271,http://bbs.ruliweb.com/game/84271/review
4,유희왕 듀얼 링크스,장르: TCG,일정: 출시 (2016.03.31),Apple ETC,0,0,144,http://bbs.ruliweb.com/game/83995,http://bbs.ruliweb.com/game/83995/review
5,페이트 그랜드 오더,장르: 카드,일정: 출시 (2015.07.30),Apple ETC,7.1,34,76,http://bbs.ruliweb.com/game/83706,http://bbs.ruliweb.com/game/83706/review
6,더 디비전,"장르: 슈팅, 어드벤처, 액션","일정: 출시 (2016.03.08), CBT (2016.01.28)",PC/ON PS4 XONE,7.6,779,70,http://bbs.ruliweb.com/game/81224,http://bbs.ruliweb.com/game/81224/review
7,러브 라이브! 스쿨 아이돌 페스티벌(일어버전),"장르: 카드, 리듬","일정: 출시 (2013.04.14), 출시 (2013.05.31)",Apple ETC,9.1,247,59,http://bbs.ruliweb.com/game/81035,http://bbs.ruliweb.com/game/81035/review
8,블러드본,장르: RPG,일정: 출시 (2015.03.24),PS4,9.1,969,53,http://bbs.ruliweb.com/game/82048,http://bbs.ruliweb.com/game/82048/review
9,MLB 17: 더 쇼,장르: 스포츠,일정: 출시 (2017.03.28),PS4,9.7,20,46,http://bbs.ruliweb.com/game/84307,http://bbs.ruliweb.com/game/84307/review
10,젤다의 전설: 브레스 오브 더 와일드,"장르: RPG, 액션",일정: 출시 (2017.03.03),switch Wii U,9.5,131,37,http://bbs.ruliweb.com/game/84291,http://bbs.ruliweb.com/game/84291/review
11,피파 17,장르: 스포츠,일정: 출시 (2016.09.27),PC/ON ETC PS4 PS3 X360 XONE Apple,6.6,171,37,http://bbs.ruliweb.com/game/84127,http://bbs.ruliweb.com/game/84127/review
12,데스티니,"장르: 액션, FPS","일정: 출시 (2014.10.16), 출시 (2014.09.09), 출시 (2014.09.23), 출시 (2016.09.20)",PS3 X360 PS4 XONE,8.2,892,31,http://bbs.ruliweb.com/game/81510,http://bbs.ruliweb.com/game/81510/review
13,아이돌마스터 신데렐라 걸즈 스타라이트 스테이지,장르: 리듬,일정: 출시 (2015.09.03),ETC,9.5,56,30,http://bbs.ruliweb.com/game/83740,http://bbs.ruliweb.com/game/83740/review
14,월드 사커 위닝 일레븐 2017,장르: 스포츠,일정: 출시 (2016.09.13),PC/ON PS4 XONE,7.5,180,26,http://bbs.ruliweb.com/game/84111,http://bbs.ruliweb.com/game/84111/review
15,그랑블루 판타지,장르: RPG,일정: 출시 (2014.03.10),Apple ETC ETC,9.7,30,21,http://bbs.ruliweb.com/game/82558,http://bbs.ruliweb.com/game/82558/review
16,포켓몬스터 썬/문,장르: RPG,일정: 출시 (2016.11.18),3DS,9.3,47,19,http://bbs.ruliweb.com/game/84030,http://bbs.ruliweb.com/game/84030/review
17,GTA 5,"장르: 어드벤처, 액션","일정: 출시 (2013.09.17), 출시 (2014.11.18), 출시 (2015.04.14)",PS3 X360 PS4 XONE PC/ON,9.1,620,18,http://bbs.ruliweb.com/game/446,http://bbs.ruliweb.com/game/446/review
18,파이널 판타지: 브레이브엑스비어스,장르: RPG,일정: 출시 (2015.10.25),Apple ETC,9.1,23,17,http://bbs.ruliweb.com/game/83796,http://bbs.ruliweb.com/game/83796/review
19,슈퍼로봇대전 V,장르: SRPG,일정: 출시 (2017.02.23),PS4 VITA,9.4,260,15,http://bbs.ruliweb.com/game/84200,http://bbs.ruliweb.com/game/84200/review
20,섬머 레슨,"장르: VR, 시뮬레이션","일정: 출시 (2016.10.30), 출시 (2017.04.27)",PS4,5.7,9,15,http://bbs.ruliweb.com/game/84118,http://bbs.ruliweb.com/game/84118/review
21,테일즈 오브 베르세리아,장르: RPG,일정: 출시 (2016.08.18),PS4 PS3,9.5,44,15,http://bbs.ruliweb.com/game/84084,http://bbs.ruliweb.com/game/84084/review
22,4여신 온라인 사이버 디멘션 넵튠,"장르: RPG, 액션","일정: 출시 (2017.02.09), 출시 (2017.05.18)",PS4,8,6,13,http://bbs.ruliweb.com/game/84272,http://bbs.ruliweb.com/game/84272/review
23,포 아너,장르: 액션,"일정: 출시 (2017.02.14), CBT (2017.01.26)",PC/ON PS4 XONE,8,143,13,http://bbs.ruliweb.com/game/84260,http://bbs.ruliweb.com/game/84260/review
24,용과 같이 6,"장르: 어드벤처, 액션",일정: 출시 (2016.12.08),PS4,3.2,63,13,http://bbs.ruliweb.com/game/84221,http://bbs.ruliweb.com/game/84221/review
25,콜 오브 듀티: 인피니티 워페어,장르: FPS,일정: 출시 (2016.11.04),PC/ON PS4 XONE,7,67,12,http://bbs.ruliweb.com/game/84177,http://bbs.ruliweb.com/game/84177/review
26,액셀 월드 vs 소드 아트 온라인 천년의 황혼,"장르: RPG, 액션","일정: 출시 (2017.03.16), 출시 (2017.04.06)",PS4 VITA,8.7,3,11,http://bbs.ruliweb.com/game/84246,http://bbs.ruliweb.com/game/84246/review
27,데스티니 차일드,장르: RPG,일정: ,,1.4,117,11,http://bbs.ruliweb.com/game/83939,http://bbs.ruliweb.com/game/83939/review
28,다크 소울,"장르: RPG, 액션","일정: 출시 (2011.10.18), 출시 (2012.08.24), 출시 (2012.10.26)",X360 PS3 PC/ON,8.6,519,10,http://bbs.ruliweb.com/game/10017,http://bbs.ruliweb.com/game/10017/review
29,파이널 판타지 15,장르: RPG,일정: 출시 (2016.11.29),PS4 XONE,7.8,524,10,http://bbs.ruliweb.com/game/81313,http://bbs.ruliweb.com/game/81313/review
30,클로저스 4,장르: 액션,"일정: CBT (2014.08.20), OBT (2014.12.23)",PC/ON,6.4,206,10,http://bbs.ruliweb.com/game/81404,http://bbs.ruliweb.com/game/81404/review
31,더 위쳐 3: 와일드 헌트,"장르: RPG, 액션","일정: 출시 (2015.05.19), 출시 (2015.10.13)",PC/ON PS4 XONE,8.2,1786,10,http://bbs.ruliweb.com/game/81593,http://bbs.ruliweb.com/game/81593/review
32,포르자 호라이즌 3,장르: 레이싱,일정: 출시 (2016.09.27),PC/ON XONE,9.7,59,9,http://bbs.ruliweb.com/game/84126,http://bbs.ruliweb.com/game/84126/review
33,배틀필드 1 (2016),장르: FPS,일정: 출시 (2016.10.21),PC/ON PS4 XONE,8.4,85,9,http://bbs.ruliweb.com/game/84113,http://bbs.ruliweb.com/game/84113/review
34,파이어 엠블렘: 에코즈,장르: SRPG,일정: 출시 (2017.04.20),3DS,10,2,8,http://bbs.ruliweb.com/game/84328,http://bbs.ruliweb.com/game/84328/review
35,고스트 리콘: 와일드랜드,장르: TPS,"일정: 출시 (2017.03.07), CBT (2017.02.03)",PC/ON PS4 XONE,8.3,120,8,http://bbs.ruliweb.com/game/84281,http://bbs.ruliweb.com/game/84281/review
36,디아블로 3 영혼을 거두는 자 – 대악마판,장르: RPG,일정: 출시 (2014.08.19),PS3 PS4,8.7,110,8,http://bbs.ruliweb.com/game/81277,http://bbs.ruliweb.com/game/81277/review
37,마리오 카트 8,장르: 레이싱,"일정: 출시 (2014.05.29), 출시 (2017.04.28)",Wii U switch,9.2,49,8,http://bbs.ruliweb.com/game/81561,http://bbs.ruliweb.com/game/81561/review
38,던전 트래블러즈 2-2 타락한 소녀와 시작의 서,장르: RPG,일정: 출시 (2017.04.20),VITA,10,1,7,http://bbs.ruliweb.com/game/84326,http://bbs.ruliweb.com/game/84326/review
39,스나이퍼: 고스트 워리어 3,장르: FPS,일정: 출시 (2017.04.25),PC/ON PS4 XONE,9.5,4,7,http://bbs.ruliweb.com/game/84316,http://bbs.ruliweb.com/game/84316/review
40,파이어 엠블렘 히어로즈,장르: SRPG,일정: 출시 (2017.02.02),ETC,6.7,15,7,http://bbs.ruliweb.com/game/84270,http://bbs.ruliweb.com/game/84270/review
41,호라이즌 제로 던,"장르: RPG, 액션",일정: 출시 (2017.02.28),PS4,9.2,328,6,http://bbs.ruliweb.com/game/84277,http://bbs.ruliweb.com/game/84277/review
